,mantel_r,"p_value (Hommola test based on all data, includes monophyletic clades of MAGs)*","p_value (Hommola test based on subsampled data, includes one MAG per host species)**","p_value (PACo test based on subsampled data, includes one MAG per host species)**",symbiont_tips_count (number of MAGs  in clade),host_tips_count (number of host species with MAGs represented in clade),host_tip_span (total number of host species spanned by host clade),symbiont_subtree,host_subtree,host_clade_depth,symbiont_clade_depth,taxonomic assignment of clade
0,0.950619292,0.006,0.033,0.17,7,3,4,"(('SmitsSA_2017__TZ_86768_megahit__bin_4':0.0020890436,('Bengtsson_PalmeJ_2015__TRAVELRES2__bin_49':0.0074266551,'BackhedF_2015__SID133_M__bin_46':0.0019952667)100:0.0025606487)100:0.0345532468,(('H03_WC24_S24__DASTool_bins_3':0.0093364156,'F03_WC22_S22__DASTool_bins_metabat2_178_sub':0.0013546463)100:0.0102868753,('F04_WC30_S30__DASTool_bins_concoct_068':0.0040762007,'E01_WC5_S5__DASTool_bins_metabat2_095_sub':0.0095855502)100:0.0045189768)100:0.0173744016)100:0.0232560382;","((('Pan_troglodytes_troglodytes':0.5,'Pan_troglodytes_schweinfurthii':0.5):2.82005943,'Pan_paniscus':2.82005943)40:3.83084557,'Homo_sapiens':6.650905)48:2.41219052;",13.80181,0.081538243,d__Bacteria;p__Firmicutes;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Agathobacter;s__
3,0.760278406,0.006,1.0,1.0,9,3,23,"(((('HMP_2012__SRS077730__bin_27':0.0604275904,('FengQ_2015__SID530172__bin_44':0.054394832,'HMP_2012__SRS011302__bin_14':0.0483380589)100:0.0422110969)100:0.0241225281,('Bengtsson_PalmeJ_2015__TRAVELRES45__bin_118':0.0925856192,'XieH_2016__YSZC12003_36667__bin_50':0.0768139431)97:0.0204848562)100:0.0838572049,'HeQ_2017__SZAXPI029577_94__bin_48':0.1291128707)100:0.1014708679,(('AmatoKR_2018__qiita_sid_11212_11212_PVPet__bin_1':0.0002726509,'AmatoKR_2018__qiita_sid_11212_11212_PVPam__bin_18':0.0089113147)100:0.104420822,'AmatoKR_2018__qiita_sid_11212_11212_Asen1111__bin_16':0.1261476888)100:0.1197228999)100:0.0676231955;","(('Propithecus_verreauxi':38.36398632,('Lemur_catta':19.5138425,'Eulemur_rubriventer':19.5138425)14:18.85014382)13:35.47290803,(('Cebus_capucinus':20.6635964,((('Alouatta_pigra':3.19525,'Alouatta_palliata':3.19525)11:1.67410167,('Alouatta_seniculus':3.90438167,'Alouatta_caraya':3.90438167)10:0.96497)19:10.02098405,(('Ateles_hybridus':4.65265,'Ateles_belzebuth':4.65265)9:7.47888462,'Lagothrix_lagotricha':12.13153462)22:2.7588011)8:5.77326069)6:22.48769995,((((('Papio_cynocephalus':2.41,('Papio_hamadryas':1.73232857,'Papio_anubis':1.73232857)30:0.67767143)29:2.67028789,'Theropithecus_gelada':5.08028789)27:8.66928294,'Cercopithecus_ascanius':13.74957083)35:5.67273395,('Piliocolobus_badius':12.8,'Colobus_guereza':12.8)43:6.62230478)42:10.01924203,('Gorilla_gorilla':9.06309552,((('Pan_troglodytes_troglodytes':0.5,'Pan_troglodytes_schweinfurthii':0.5):2.82005943,'Pan_paniscus':2.82005943)40:3.83084557,'Homo_sapiens':6.650905)48:2.41219052)51:20.3784513)47:13.70974953)39:30.685598);",148.1737887,0.551927119,d__Bacteria;p__Firmicutes;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Eubacterium_G;s__
4,0.763811617,0.001,0.331,0.332,18,3,12,"(((('TungJ_2015__F01__bin_10':1.0008e-06,'TungJ_2015__F14__bin_2':0.0002505272)49:1.0007e-06,'TungJ_2015__F23__bin_5':1.0008e-06)100:0.0580463816,(((((((('TungJ_2015__F01__bin_4':1.0008e-06,'TungJ_2015__F03__bin_9':1.0008e-06)27:1.0007e-06,'TungJ_2015__F06__bin_90':0.0068575741)28:1.0007e-06,('TungJ_2015__F05__bin_27':0.0008095004,'TungJ_2015__F27__bin_56':1.0008e-06)64:0.0004787266)18:1.0007e-06,'TungJ_2015__F04__bin_27':1.0008e-06)17:1.0007e-06,'TungJ_2015__F31__bin_47':0.0002402406)62:0.0002963048,'TungJ_2015__F19__bin_18':0.0001876368)94:0.0018699125,'TungJ_2015__M12__bin_4':0.0016537738)100:0.0186363117,(('TungJ_2015__F07__bin_15':1.0008e-06,'TungJ_2015__F13__bin_2':1.0008e-06)100:0.0154461548,'AmatoKR_2018__qiita_sid_11212_11212_JB17__bin_39':0.0192149827)100:0.0060576316)100:0.0778700383)96:0.0346307735,(('F04_WC30_S30__DASTool_bins_metabat2_116':0.0012695038,'C04_WC27_S27__DASTool_bins_concoct_108_sub':0.0020004921)99:0.0003179107,'E04_WC29_S29__DASTool_bins_182':0.0006433501)100:0.0871467026)100:0.1469152734;","((((('Papio_cynocephalus':2.41,('Papio_hamadryas':1.73232857,'Papio_anubis':1.73232857)30:0.67767143)29:2.67028789,'Theropithecus_gelada':5.08028789)27:8.66928294,'Cercopithecus_ascanius':13.74957083)35:5.67273395,('Piliocolobus_badius':12.8,'Colobus_guereza':12.8)43:6.62230478)42:10.01924203,('Gorilla_gorilla':9.06309552,((('Pan_troglodytes_troglodytes':0.5,'Pan_troglodytes_schweinfurthii':0.5):2.82005943,'Pan_paniscus':2.82005943)40:3.83084557,'Homo_sapiens':6.650905)48:2.41219052)51:20.3784513)47:13.70974953;",59.38309363,0.229629022,d__Bacteria;p__Firmicutes;c__Bacilli;o__RFN20;f__CAG-826;g__UBA4951;s__
10,0.790544337,0.009,0.176,0.188,11,3,12,"(((('Lib4_2_bin_37_filtered':0.000383125,'Lib4_3_bin_40_filtered':0.0008264803)100:0.0056594324,((('VogtmannE_2016__MMRS81135225ST_27_0_0__bin_61':0.0088803654,'BritoIL_2016__M1_20_ST__bin_15':0.0023752866)82:0.0033683829,((('SmitsSA_2017__TZ_41014_megahit__bin_11':0.0058014568,'CosteaPI_2017__SID713B012_11_0_0__bin_81':0.0083663696)82:0.0054860043,'Obregon_TitoAJ_2015__HCO09__bin_15':0.0043879802)82:0.0056197486,'SmitsSA_2017__TZ_65642_megahit__bin_25':0.0062218083)82:0.0023351026)100:0.0018405279,'BritoIL_2016__WL_43_ST__bin_87':0.0106116893)100:0.0074361907)93:0.0220276289,'AmatoKR_2018__qiita_sid_11212_11212_JB17__bin_24':0.0006266506)93:0.0028503525,'AmatoKR_2018__qiita_sid_11212_11212_JB10__bin_13':0.0129338659)93:0.0115361082;","((((('Papio_cynocephalus':2.41,('Papio_hamadryas':1.73232857,'Papio_anubis':1.73232857)30:0.67767143)29:2.67028789,'Theropithecus_gelada':5.08028789)27:8.66928294,'Cercopithecus_ascanius':13.74957083)35:5.67273395,('Piliocolobus_badius':12.8,'Colobus_guereza':12.8)43:6.62230478)42:10.01924203,('Gorilla_gorilla':9.06309552,((('Pan_troglodytes_troglodytes':0.5,'Pan_troglodytes_schweinfurthii':0.5):2.82005943,'Pan_paniscus':2.82005943)40:3.83084557,'Homo_sapiens':6.650905)48:2.41219052)51:20.3784513)47:13.70974953;",59.38309363,0.068895791,d__Bacteria;p__Firmicutes;c__Bacilli;o__Erysipelotrichales;f__Erysipelatoclostridiaceae;g__;s__
11,0.800273609,0.008,0.158,0.166,9,3,5,"(('HicksAL_2018__WDG_0040__bin_20':0.0024671476,'HicksAL_2018__WDG_0127__bin_10':0.001036084)100:0.0049692559,(((('E01_WC5_S5__DASTool_bins_metabat2_100':0.007204969,('D04_WC28_S28__DASTool_bins_concoct_024':0.0007434451,'WC8_WC8_001':0.0009088791)23:0.0002434577)21:1.0007e-06,('D03_WC20_S20__DASTool_bins_maxbin2_046_sub':0.0040125962,'D01_WC4_S4__DASTool_bins_concoct_132':1.0008e-06)100:0.0004412927)23:1.0007e-06,'WC5_11':0.0060745438)100:0.0009880272,'D02_WC12_S12__DASTool_bins_45':0.0004557895)100:0.0063984953)77:0.0012944228;","('Gorilla_gorilla':9.06309552,((('Pan_troglodytes_troglodytes':0.5,'Pan_troglodytes_schweinfurthii':0.5):2.82005943,'Pan_paniscus':2.82005943)40:3.83084557,'Homo_sapiens':6.650905)48:2.41219052)51:20.3784513;",18.62619104,0.022029896,d__Bacteria;p__Firmicutes;c__Clostridia;o__Oscillospirales;f__Acutalibacteraceae;g__;s__
12,0.809534043,0.002,0.325,1.0,10,3,23,"(((('ZeeviD_2015__PNP_Main_575_megahit__bin_3':0.0080686157,'LiJ_2017__nHM611708__bin_55':0.0037071511)100:0.0154980198,'LeChatelierE_2013__MH0187__bin_18':0.0143860513)100:0.0646819618,(((('AmatoKR_2018__qiita_sid_11212_11212_PVQui__bin_7':1.0008e-06,'AmatoKR_2018__qiita_sid_11212_11212_PVPet__bin_3':1.0008e-06)100:0.0002225955,'AmatoKR_2018__qiita_sid_11212_11212_PVPam__bin_11':0.0002202435)100:0.0002187283,'AmatoKR_2018__qiita_sid_11212_11212_PVAbb__bin_1':1.0008e-06)100:0.000436508,'AmatoKR_2018__qiita_sid_11212_11212_PVLou__bin_7':0.0013206495)100:0.2070884913)44:0.0165780677,('AmatoKR_2018__qiita_sid_11212_11212_Lc310__bin_7':0.1265110986,'LeChatelierE_2013__MH0409__bin_73':0.0734219623)100:0.0214026915)44:0.0134693494;","(('Propithecus_verreauxi':38.36398632,('Lemur_catta':19.5138425,'Eulemur_rubriventer':19.5138425)14:18.85014382)13:35.47290803,(('Cebus_capucinus':20.6635964,((('Alouatta_pigra':3.19525,'Alouatta_palliata':3.19525)11:1.67410167,('Alouatta_seniculus':3.90438167,'Alouatta_caraya':3.90438167)10:0.96497)19:10.02098405,(('Ateles_hybridus':4.65265,'Ateles_belzebuth':4.65265)9:7.47888462,'Lagothrix_lagotricha':12.13153462)22:2.7588011)8:5.77326069)6:22.48769995,((((('Papio_cynocephalus':2.41,('Papio_hamadryas':1.73232857,'Papio_anubis':1.73232857)30:0.67767143)29:2.67028789,'Theropithecus_gelada':5.08028789)27:8.66928294,'Cercopithecus_ascanius':13.74957083)35:5.67273395,('Piliocolobus_badius':12.8,'Colobus_guereza':12.8)43:6.62230478)42:10.01924203,('Gorilla_gorilla':9.06309552,((('Pan_troglodytes_troglodytes':0.5,'Pan_troglodytes_schweinfurthii':0.5):2.82005943,'Pan_paniscus':2.82005943)40:3.83084557,'Homo_sapiens':6.650905)48:2.41219052)51:20.3784513)47:13.70974953)39:30.685598);",148.1737887,0.372900999,d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Bacteroidaceae;g__Prevotella;s__
13,0.809603908,0.001,0.628,0.683,17,3,20,"(('FerrettiP_2018__CA_C10052IS2908FE_t1M16__bin_4':0.0145155292,('BritoIL_2016__M2_38_ST__bin_53':0.0104532482,'BackhedF_2015__SID590_12M__bin_4':0.0110414074)100:0.0060030665)100:0.0132022749,(('FerrettiP_2018__CA_C10042IS2731FE_t2M16__bin_6':0.0055050105,'F02_WC14_S14__DASTool_bins_metabat2_055':0.0015843556)100:0.0025227111,(((((('OrkinJD_2019__SSR105__bin_25':0.0004651679,'OrkinJD_2019__SSR116__bin_7':0.0022724875)90:0.0017641349,'OrkinJD_2019__SSR096__bin_2':1.0008e-06)58:1.0007e-06,('OrkinJD_2019__SSR056__bin_2':0.0003711399,'OrkinJD_2019__SSR093__bin_3':0.0091996317)91:0.0043987696)92:1.0007e-06,'OrkinJD_2019__SSR039__bin_15':1.0008e-06)90:1.0007e-06,('OrkinJD_2019__SSR118__bin_6':0.0002714086,'OrkinJD_2019__SSR091__bin_1':0.0011465647)100:0.0004489465)100:0.0023149506,(('OrkinJD_2019__SSR047__bin_3':0.0003579972,'OrkinJD_2019__SSR046__bin_20':1.0008e-06)100:0.000232017,('OrkinJD_2019__SSR049__bin_13':0.0004733816,'OrkinJD_2019__SSR024__bin_9':0.0005591317)100:0.0005243474)100:0.0040031653)100:0.0195057342)100:0.0121642296)100:0.0119814961;","(('Cebus_capucinus':20.6635964,((('Alouatta_pigra':3.19525,'Alouatta_palliata':3.19525)11:1.67410167,('Alouatta_seniculus':3.90438167,'Alouatta_caraya':3.90438167)10:0.96497)19:10.02098405,(('Ateles_hybridus':4.65265,'Ateles_belzebuth':4.65265)9:7.47888462,'Lagothrix_lagotricha':12.13153462)22:2.7588011)8:5.77326069)6:22.48769995,((((('Papio_cynocephalus':2.41,('Papio_hamadryas':1.73232857,'Papio_anubis':1.73232857)30:0.67767143)29:2.67028789,'Theropithecus_gelada':5.08028789)27:8.66928294,'Cercopithecus_ascanius':13.74957083)35:5.67273395,('Piliocolobus_badius':12.8,'Colobus_guereza':12.8)43:6.62230478)42:10.01924203,('Gorilla_gorilla':9.06309552,((('Pan_troglodytes_troglodytes':0.5,'Pan_troglodytes_schweinfurthii':0.5):2.82005943,'Pan_paniscus':2.82005943)40:3.83084557,'Homo_sapiens':6.650905)48:2.41219052)51:20.3784513)47:13.70974953)39:30.685598;",86.80259271,0.077832066,d__Bacteria;p__Firmicutes;c__Bacilli;o__Lactobacillales;f__Streptococcaceae;g__Streptococcus;s__
14,0.812270995,0.007,0.332,0.346,11,3,23,"((((((('ZellerG_2014__CCMD87156761ST_21_0__bin_57':0.0101301427,'LeChatelierE_2013__MH0183__bin_57':0.0126138791)100:0.0139304228,'B04_WC26_S26__DASTool_bins_concoct_070_sub':0.0220108283)100:0.0150669188,'BackhedF_2015__SID633_M__bin_39':0.0283545216)100:0.014070474,'ZeeviD_2015__PNP_Main_135_megahit__bin_67':0.0478002693)100:0.0208101556,(('LiJ_2014__V1_CD6_0_PT__bin_98':0.018078236,'BritoIL_2016__M1_16_ST__bin_66':0.0165810473)100:0.0239801057,('E04_WC29_S29__DASTool_bins_E04_WC29_S29__bin_100':0.0012454264,'C04_WC27_S27__DASTool_bins_metabat2_202_sub':0.0034551644)100:0.1063320112)100:0.0208948958)100:0.0311512595,'NielsenHB_2014__O2_UC18_2__bin_14':0.0984779303)100:0.0715184642,'AmatoKR_2018__qiita_sid_11212_11212_PVPet__bin_20':0.1595107275)100:0.0543954793;","(('Propithecus_verreauxi':38.36398632,('Lemur_catta':19.5138425,'Eulemur_rubriventer':19.5138425)14:18.85014382)13:35.47290803,(('Cebus_capucinus':20.6635964,((('Alouatta_pigra':3.19525,'Alouatta_palliata':3.19525)11:1.67410167,('Alouatta_seniculus':3.90438167,'Alouatta_caraya':3.90438167)10:0.96497)19:10.02098405,(('Ateles_hybridus':4.65265,'Ateles_belzebuth':4.65265)9:7.47888462,'Lagothrix_lagotricha':12.13153462)22:2.7588011)8:5.77326069)6:22.48769995,((((('Papio_cynocephalus':2.41,('Papio_hamadryas':1.73232857,'Papio_anubis':1.73232857)30:0.67767143)29:2.67028789,'Theropithecus_gelada':5.08028789)27:8.66928294,'Cercopithecus_ascanius':13.74957083)35:5.67273395,('Piliocolobus_badius':12.8,'Colobus_guereza':12.8)43:6.62230478)42:10.01924203,('Gorilla_gorilla':9.06309552,((('Pan_troglodytes_troglodytes':0.5,'Pan_troglodytes_schweinfurthii':0.5):2.82005943,'Pan_paniscus':2.82005943)40:3.83084557,'Homo_sapiens':6.650905)48:2.41219052)51:20.3784513)47:13.70974953)39:30.685598);",148.1737887,0.392862523,d__Bacteria;p__Firmicutes;c__Bacilli;o__RF39;f__CAG-1000;g__CAG-460;s__
15,0.822931145,0.001,0.321,0.337,19,3,20,"((((((('WC34_bin_126':0.0263174215,'G04_WC31_S31__DASTool_bins_concoct_056_sub':0.0133812588)100:0.0079422632,'A05_WC33_S33__DASTool_bins_concoct_104':0.0111170769)100:0.0023155063,'D05_WC36_S36__DASTool_bins_metabat2_033':0.0020870765)100:0.0061521422,('D02_WC12_S12__DASTool_bins_158_sub':0.0104846455,('B01_WC2_S2__DASTool_bins_concoct_149_sub':0.003225557,'A01_WC1_S1__DASTool_bins_metabat2_008_sub':0.0035720525)100:0.0020962885)100:0.0073309787)100:0.0248567416,'WC16_42':0.0271264315)100:0.1066457499,(('E01_WC5_S5__DASTool_bins_concoct_012_sub':0.000306416,'WC5_81_sub':1.0008e-06)100:0.0007578652,'A01_WC1_S1__DASTool_bins_metabat2_013':0.0006336686)100:0.1584377853)100:0.1435323037,((((('AmatoKR_2018__qiita_sid_11212_11212_APF105__bin_3':1.0008e-06,'AmatoKR_2018__qiita_sid_11212_11212_APF104__bin_7':0.0016047464)97:2.5488e-06,('AmatoKR_2018__qiita_sid_11212_11212_APF103__bin_8':0.0005020129,'AmatoKR_2018__qiita_sid_11212_11212_APF37__bin_15':0.0026977691)58:0.0002606164)58:0.0019390501,'AmatoKR_2018__qiita_sid_11212_11212_APF39__bin_2':0.003691011)100:0.0033593755,'AmatoKR_2018__qiita_sid_11212_11212_APF38__bin_33':0.0041347249)100:0.243073731,('AmatoKR_2018__qiita_sid_11212_11212_APF106__bin_18':0.0006876988,'AmatoKR_2018__qiita_sid_11212_11212_APF103__bin_14':1.0008e-06)100:0.3619443735)100:0.0619494854)100:0.1103799869;","(('Cebus_capucinus':20.6635964,((('Alouatta_pigra':3.19525,'Alouatta_palliata':3.19525)11:1.67410167,('Alouatta_seniculus':3.90438167,'Alouatta_caraya':3.90438167)10:0.96497)19:10.02098405,(('Ateles_hybridus':4.65265,'Ateles_belzebuth':4.65265)9:7.47888462,'Lagothrix_lagotricha':12.13153462)22:2.7588011)8:5.77326069)6:22.48769995,((((('Papio_cynocephalus':2.41,('Papio_hamadryas':1.73232857,'Papio_anubis':1.73232857)30:0.67767143)29:2.67028789,'Theropithecus_gelada':5.08028789)27:8.66928294,'Cercopithecus_ascanius':13.74957083)35:5.67273395,('Piliocolobus_badius':12.8,'Colobus_guereza':12.8)43:6.62230478)42:10.01924203,('Gorilla_gorilla':9.06309552,((('Pan_troglodytes_troglodytes':0.5,'Pan_troglodytes_schweinfurthii':0.5):2.82005943,'Pan_paniscus':2.82005943)40:3.83084557,'Homo_sapiens':6.650905)48:2.41219052)51:20.3784513)47:13.70974953)39:30.685598;",86.80259271,0.742343686,d__Bacteria;p__Firmicutes;c__Bacilli;o__RFN20;f__CAG-826;g__;s__
17,0.827441254,0.01,0.323,0.151,8,3,12,"(('TungJ_2015__M01__bin_43':0.0003330285,'TungJ_2015__F31__bin_98':0.0002595603)100:0.0210024253,(('AmatoKR_2018__qiita_sid_11212_11212_Ptr10__bin_21':0.0041547104,'A01_WC1_S1__DASTool_bins_concoct_125':0.0026116646)100:0.0177793725,((('F01_WC6_S6__DASTool_bins_82':0.0092244478,'WC6_bin_73':0.002077913)100:0.0010385647,'D02_WC12_S12__DASTool_bins_82':0.0028742987)100:0.0031350797,'D05_WC36_S36__DASTool_bins_concoct_067':0.0081614676)100:0.008755682)100:0.0179379892)100:0.0058932013;","((((('Papio_cynocephalus':2.41,('Papio_hamadryas':1.73232857,'Papio_anubis':1.73232857)30:0.67767143)29:2.67028789,'Theropithecus_gelada':5.08028789)27:8.66928294,'Cercopithecus_ascanius':13.74957083)35:5.67273395,('Piliocolobus_badius':12.8,'Colobus_guereza':12.8)43:6.62230478)42:10.01924203,('Gorilla_gorilla':9.06309552,((('Pan_troglodytes_troglodytes':0.5,'Pan_troglodytes_schweinfurthii':0.5):2.82005943,'Pan_paniscus':2.82005943)40:3.83084557,'Homo_sapiens':6.650905)48:2.41219052)51:20.3784513)47:13.70974953;",59.38309363,0.061427217,d__Bacteria;p__Firmicutes;c__Clostridia;o__Oscillospirales;f__Oscillospiraceae;g__F23-B02;s__
