MAG_ID	Species
MGYG000000001	GCA-900066495 sp902362365
MGYG000000002	Blautia_A faecis
MGYG000000003	Alistipes shahii
MGYG000000004	Anaerotruncus colihominis
MGYG000000005	Terrisporobacter glycolicus_A
MGYG000000006	Staphylococcus xylosus
MGYG000000007	Lactobacillus intestinalis
MGYG000000008	Lactobacillus johnsonii
MGYG000000009	Ligilactobacillus murinus
MGYG000000010	Staphylococcus_A lentus
MGYG000000011	Staphylococcus xylosus_B
MGYG000000012	Bacillus subtilis
MGYG000000013	Bacteroides sp902362375
MGYG000000014	Clostridium butyricum
MGYG000000015	Enterobacter mori
MGYG000000016	Anaerotignum sp001304995
MGYG000000017	Collinsella sp902362275
MGYG000000018	Coprococcus eutactus
MGYG000000019	Enterobacter cloacae_O
MGYG000000020	Latilactobacillus curvatus
MGYG000000021	Limosilactobacillus vaginalis_A
MGYG000000022	Faecalibacterium prausnitzii_C
MGYG000000023	Streptococcus parasanguinis
MGYG000000024	Paraclostridium bifermentans
MGYG000000025	Staphylococcus nepalensis
MGYG000000026	Catenibacterium mitsuokai
MGYG000000027	Mitsuokella jalaludinii
MGYG000000028	Anaerostipes hadrus_A
MGYG000000029	Bacteroides finegoldii
MGYG000000030	CAG-603 sp900066105
MGYG000000031	Blautia_A sp900066205
MGYG000000032	Hungatella effluvii
MGYG000000033	CAG-41 sp900066215
MGYG000000034	Massilimaliae timonensis
MGYG000000035	Blautia_A hydrogenotrophica
MGYG000000036	Pseudoruminococcus massiliensis
MGYG000000037	Turicibacter sp001543345
MGYG000000038	Dorea_A longicatena
MGYG000000039	Faecalibacterium prausnitzii_H
MGYG000000040	UBA1191 sp900066305
MGYG000000041	Acetatifactor sp900066365
MGYG000000042	Phocaeicola sp900066445
MGYG000000043	Phocaeicola sp900066455
MGYG000000044	Parabacteroides merdae
MGYG000000045	Faecalibacillus intestinalis
MGYG000000046	Megasphaera stantonii
MGYG000000047	Clostridium disporicum_A
MGYG000000048	Clostridium_P ventriculi
MGYG000000049	GCA-900066495 sp900066495
MGYG000000050	Blautia_A sp900066505
MGYG000000051	Anaerosacchariphilus sp900066385
MGYG000000052	Anaerostipes sp000508985
MGYG000000053	Alistipes sp002358415
MGYG000000054	Bacteroides acidifaciens
MGYG000000055	Muribaculum intestinale
MGYG000000056	Muribaculum sp002358615
MGYG000000057	Bacteroides sp002491635
MGYG000000058	Eubacterium_I sp900066595
MGYG000000059	Lawsonibacter sp900066645
MGYG000000060	Lachnospira eligens_A
MGYG000000061	Collinsella aerofaciens_E
MGYG000000062	Intestinibacter bartlettii
MGYG000000063	Emergencia sp900066695
MGYG000000064	Clostridium baratii
MGYG000000065	Anaerostipes sp900066705
MGYG000000066	GCA-900066755 sp900066755
MGYG000000067	Lachnoclostridium_B sp900066765
MGYG000000068	Agathobaculum sp900291975
MGYG000000069	Clostridium_A leptum
MGYG000000070	Lawsonibacter sp900066825
MGYG000000071	Pseudoflavonifractor capillosus
MGYG000000072	UBA1394 sp900066845
MGYG000000073	GCA-900066905 sp900066905
MGYG000000074	Alistipes onderdonkii
MGYG000000075	Paraclostridium tenue
MGYG000000076	Roseburia intestinalis
MGYG000000077	Anaerobutyricum soehngenii
MGYG000000078	Lachnospira rogosae_A
MGYG000000079	Exiguobacterium sp902362975
MGYG000000080	Anaerostipes caccae
MGYG000000081	Corynebacterium propinquum
MGYG000000082	Acinetobacter mesopotamicus
MGYG000000083	Peribacillus simplex
MGYG000000084	Gemmiger formicilis
MGYG000000085	Collinsella aerofaciens_F
MGYG000000086	Lawsonibacter sp902363045
MGYG000000087	CAG-81 sp000435795
MGYG000000088	Streptococcus lutetiensis
MGYG000000089	CAG-353 sp900066885
MGYG000000090	Lawsonibacter sp014287875
MGYG000000091	Achromobacter xylosoxidans
MGYG000000092	UBA7160 sp902363135
MGYG000000093	Klebsiella_A grimontii
MGYG000000094	Collinsella sp902363125
MGYG000000095	GCA-900066755 sp902363085
MGYG000000096	Leuconostoc pseudomesenteroides
MGYG000000097	Ligilactobacillus animalis
MGYG000000098	Bacteroides bouchesdurhonensis
MGYG000000099	Flavonifractor plautii
MGYG000000100	CABIZH01 sp902363205
MGYG000000101	Micrococcus luteus
MGYG000000102	Terrisporobacter sp902363255
MGYG000000103	Bacilliculturomica massiliensis
MGYG000000104	Clostridium cuniculi
MGYG000000105	Bacteroides clarus
MGYG000000106	Enterococcus_D gallinarum
MGYG000000107	Klebsiella_A oxytoca
MGYG000000108	Citrobacter freundii
MGYG000000109	Streptococcus sp004166885
MGYG000000110	Kluyvera sp902363335
MGYG000000111	Cutibacterium acnes
MGYG000000112	Actinomyces sp900323545
MGYG000000113	Streptococcus salivarius
MGYG000000114	Streptococcus sp902363395
MGYG000000115	Clostridium_J sp902363375
MGYG000000116	Exiguobacterium_A sp902363455
MGYG000000117	Barnesiella sp003150885
