,mantel_r,"p_value (Hommola test based on all data, includes monophyletic clades of MAGs)*","p_value (Hommola test based on subsampled data, includes one MAG per host species)**","p_value (PACo test based on subsampled data, includes one MAG per host species)**",symbiont_tips_count (number of MAGs  in clade),host_tips_count (number of host species with MAGs represented in clade),host_tip_span (total number of host species spanned by host clade),symbiont_subtree,host_subtree,host_clade_depth,symbiont_clade_depth,taxonomic assignment of clade,duplicate_tip
11,0.800273609,0.008,0.158,0.166,9,3,5,"(('HicksAL_2018__WDG_0040__bin_20':0.0024671476,'HicksAL_2018__WDG_0127__bin_10':0.001036084)100:0.0049692559,(((('E01_WC5_S5__DASTool_bins_metabat2_100':0.007204969,('D04_WC28_S28__DASTool_bins_concoct_024':0.0007434451,'WC8_WC8_001':0.0009088791)23:0.0002434577)21:1.0007e-06,('D03_WC20_S20__DASTool_bins_maxbin2_046_sub':0.0040125962,'D01_WC4_S4__DASTool_bins_concoct_132':1.0008e-06)100:0.0004412927)23:1.0007e-06,'WC5_11':0.0060745438)100:0.0009880272,'D02_WC12_S12__DASTool_bins_45':0.0004557895)100:0.0063984953)77:0.0012944228;","('Gorilla_gorilla':9.06309552,((('Pan_troglodytes_troglodytes':0.5,'Pan_troglodytes_schweinfurthii':0.5):2.82005943,'Pan_paniscus':2.82005943)40:3.83084557,'Homo_sapiens':6.650905)48:2.41219052)51:20.3784513;",18.62619104,0.022029896,d__Bacteria;p__Firmicutes;c__Clostridia;o__Oscillospirales;f__Acutalibacteraceae;g__;s__,"E01_WC5_S5__DASTool_bins_metabat2_100,HicksAL_2018__WDG_0127__bin_10,D03_WC20_S20__DASTool_bins_maxbin2_046_sub,WC5_11,D01_WC4_S4__DASTool_bins_concoct_132,WC8_WC8_001,HicksAL_2018__WDG_0040__bin_20,D02_WC12_S12__DASTool_bins_45,D04_WC28_S28__DASTool_bins_concoct_024"
13,0.809603908,0.001,0.628,0.683,17,3,20,"(('FerrettiP_2018__CA_C10052IS2908FE_t1M16__bin_4':0.0145155292,('BritoIL_2016__M2_38_ST__bin_53':0.0104532482,'BackhedF_2015__SID590_12M__bin_4':0.0110414074)100:0.0060030665)100:0.0132022749,(('FerrettiP_2018__CA_C10042IS2731FE_t2M16__bin_6':0.0055050105,'F02_WC14_S14__DASTool_bins_metabat2_055':0.0015843556)100:0.0025227111,(((((('OrkinJD_2019__SSR105__bin_25':0.0004651679,'OrkinJD_2019__SSR116__bin_7':0.0022724875)90:0.0017641349,'OrkinJD_2019__SSR096__bin_2':1.0008e-06)58:1.0007e-06,('OrkinJD_2019__SSR056__bin_2':0.0003711399,'OrkinJD_2019__SSR093__bin_3':0.0091996317)91:0.0043987696)92:1.0007e-06,'OrkinJD_2019__SSR039__bin_15':1.0008e-06)90:1.0007e-06,('OrkinJD_2019__SSR118__bin_6':0.0002714086,'OrkinJD_2019__SSR091__bin_1':0.0011465647)100:0.0004489465)100:0.0023149506,(('OrkinJD_2019__SSR047__bin_3':0.0003579972,'OrkinJD_2019__SSR046__bin_20':1.0008e-06)100:0.000232017,('OrkinJD_2019__SSR049__bin_13':0.0004733816,'OrkinJD_2019__SSR024__bin_9':0.0005591317)100:0.0005243474)100:0.0040031653)100:0.0195057342)100:0.0121642296)100:0.0119814961;","(('Cebus_capucinus':20.6635964,((('Alouatta_pigra':3.19525,'Alouatta_palliata':3.19525)11:1.67410167,('Alouatta_seniculus':3.90438167,'Alouatta_caraya':3.90438167)10:0.96497)19:10.02098405,(('Ateles_hybridus':4.65265,'Ateles_belzebuth':4.65265)9:7.47888462,'Lagothrix_lagotricha':12.13153462)22:2.7588011)8:5.77326069)6:22.48769995,((((('Papio_cynocephalus':2.41,('Papio_hamadryas':1.73232857,'Papio_anubis':1.73232857)30:0.67767143)29:2.67028789,'Theropithecus_gelada':5.08028789)27:8.66928294,'Cercopithecus_ascanius':13.74957083)35:5.67273395,('Piliocolobus_badius':12.8,'Colobus_guereza':12.8)43:6.62230478)42:10.01924203,('Gorilla_gorilla':9.06309552,((('Pan_troglodytes_troglodytes':0.5,'Pan_troglodytes_schweinfurthii':0.5):2.82005943,'Pan_paniscus':2.82005943)40:3.83084557,'Homo_sapiens':6.650905)48:2.41219052)51:20.3784513)47:13.70974953)39:30.685598;",86.80259271,0.077832066,d__Bacteria;p__Firmicutes;c__Bacilli;o__Lactobacillales;f__Streptococcaceae;g__Streptococcus;s__,"OrkinJD_2019__SSR039__bin_15,F02_WC14_S14__DASTool_bins_metabat2_055,OrkinJD_2019__SSR056__bin_2,OrkinJD_2019__SSR091__bin_1,OrkinJD_2019__SSR105__bin_25,OrkinJD_2019__SSR047__bin_3,OrkinJD_2019__SSR096__bin_2,OrkinJD_2019__SSR093__bin_3,OrkinJD_2019__SSR118__bin_6,OrkinJD_2019__SSR024__bin_9,OrkinJD_2019__SSR116__bin_7,FerrettiP_2018__CA_C10042IS2731FE_t2M16__bin_6,OrkinJD_2019__SSR049__bin_13,OrkinJD_2019__SSR046__bin_20"
18,0.827520435,0.001,0.336,0.324,10,3,5,"(((('WC34_WC34_007':0.0280680804,'WC9_107':0.0251924094)87:0.0131348294,('B05_WC34_S34__DASTool_bins_metabat2_306':0.0026191968,'A05_WC33_S33__DASTool_bins_concoct_172':1.0008e-06)99:0.0021728455)87:0.0051220698,((('E02_WC13_S13__DASTool_bins_concoct_119':0.0002653615,('D03_WC20_S20__DASTool_bins_concoct_232_sub':0.0033884631,'C03_WC19_S19__DASTool_bins_concoct_036':0.0026045566)94:0.0004494555)81:0.000325135,'D02_WC12_S12__DASTool_bins_D02_WC12_S12__bin_90':0.0046583765)87:0.0013170232,'A01_WC1_S1__DASTool_bins_concoct_121':0.001085521)87:0.0036455257)100:0.0273952343,'HicksAL_2018__WDG_0145__bin_12':0.0531931993)100:0.0658260407;","('Gorilla_gorilla':9.06309552,((('Pan_troglodytes_troglodytes':0.5,'Pan_troglodytes_schweinfurthii':0.5):2.82005943,'Pan_paniscus':2.82005943)40:3.83084557,'Homo_sapiens':6.650905)48:2.41219052)51:20.3784513;",18.62619104,0.126913413,d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Bacteroidaceae;g__Prevotellamassilia;s__,"D03_WC20_S20__DASTool_bins_concoct_232_sub,D02_WC12_S12__DASTool_bins_D02_WC12_S12__bin_90,C03_WC19_S19__DASTool_bins_concoct_036,A05_WC33_S33__DASTool_bins_concoct_172,HicksAL_2018__WDG_0145__bin_12,E02_WC13_S13__DASTool_bins_concoct_119,B05_WC34_S34__DASTool_bins_metabat2_306,WC9_107,WC34_WC34_007,A01_WC1_S1__DASTool_bins_concoct_121"
24,0.842671008,0.002,0.171,0.163,11,3,12,"('RampelliS_2015__H24__bin_43':0.0122580422,(((('TungJ_2015__F03__bin_31':0.0002091822,('TungJ_2015__M11__bin_9':0.0095521304,'TungJ_2015__F29__bin_32':1.0008e-06)100:0.0037979838)100:2.14892e-05,((('TungJ_2015__M16__bin_115':0.0002350523,'TungJ_2015__M13__bin_10':0.000446331)99:1.0007e-06,'TungJ_2015__M09__bin_31':0.00051007)100:1.0007e-06,'TungJ_2015__F31__bin_61':1.0008e-06)100:0.0006848458)100:0.0002132127,'TungJ_2015__M03__bin_23':0.0004652702)100:0.0086063721,('BritoIL_2016__W3_22_ST__bin_85':0.0097728051,'D03_WC20_S20__DASTool_bins_metabat2_147_sub':0.0108353761)100:0.0057376113)65:0.0044397938)100:0.0121340075;","((((('Papio_cynocephalus':2.41,('Papio_hamadryas':1.73232857,'Papio_anubis':1.73232857)30:0.67767143)29:2.67028789,'Theropithecus_gelada':5.08028789)27:8.66928294,'Cercopithecus_ascanius':13.74957083)35:5.67273395,('Piliocolobus_badius':12.8,'Colobus_guereza':12.8)43:6.62230478)42:10.01924203,('Gorilla_gorilla':9.06309552,((('Pan_troglodytes_troglodytes':0.5,'Pan_troglodytes_schweinfurthii':0.5):2.82005943,'Pan_paniscus':2.82005943)40:3.83084557,'Homo_sapiens':6.650905)48:2.41219052)51:20.3784513)47:13.70974953;",59.38309363,0.038889024,d__Bacteria;p__Other;c__UBP9;o__UBA4705;f__UBA4705;g__UBA4705;s__,"TungJ_2015__M13__bin_10,TungJ_2015__M03__bin_23,BritoIL_2016__W3_22_ST__bin_85,TungJ_2015__M09__bin_31,TungJ_2015__M11__bin_9,TungJ_2015__F03__bin_31,D03_WC20_S20__DASTool_bins_metabat2_147_sub,TungJ_2015__F31__bin_61,TungJ_2015__M16__bin_115,TungJ_2015__F29__bin_32"
36,0.898163176,0.007,0.344,0.345,14,3,20,"(('FerrettiP_2018__CA_C10042IS2731FE_t2M16__bin_6':0.0055050105,'F02_WC14_S14__DASTool_bins_metabat2_055':0.0015843556)100:0.0025227111,(((((('OrkinJD_2019__SSR105__bin_25':0.0004651679,'OrkinJD_2019__SSR116__bin_7':0.0022724875)90:0.0017641349,'OrkinJD_2019__SSR096__bin_2':1.0008e-06)58:1.0007e-06,('OrkinJD_2019__SSR056__bin_2':0.0003711399,'OrkinJD_2019__SSR093__bin_3':0.0091996317)91:0.0043987696)92:1.0007e-06,'OrkinJD_2019__SSR039__bin_15':1.0008e-06)90:1.0007e-06,('OrkinJD_2019__SSR118__bin_6':0.0002714086,'OrkinJD_2019__SSR091__bin_1':0.0011465647)100:0.0004489465)100:0.0023149506,(('OrkinJD_2019__SSR047__bin_3':0.0003579972,'OrkinJD_2019__SSR046__bin_20':1.0008e-06)100:0.000232017,('OrkinJD_2019__SSR049__bin_13':0.0004733816,'OrkinJD_2019__SSR024__bin_9':0.0005591317)100:0.0005243474)100:0.0040031653)100:0.0195057342)100:0.0121642296;","(('Cebus_capucinus':20.6635964,((('Alouatta_pigra':3.19525,'Alouatta_palliata':3.19525)11:1.67410167,('Alouatta_seniculus':3.90438167,'Alouatta_caraya':3.90438167)10:0.96497)19:10.02098405,(('Ateles_hybridus':4.65265,'Ateles_belzebuth':4.65265)9:7.47888462,'Lagothrix_lagotricha':12.13153462)22:2.7588011)8:5.77326069)6:22.48769995,((((('Papio_cynocephalus':2.41,('Papio_hamadryas':1.73232857,'Papio_anubis':1.73232857)30:0.67767143)29:2.67028789,'Theropithecus_gelada':5.08028789)27:8.66928294,'Cercopithecus_ascanius':13.74957083)35:5.67273395,('Piliocolobus_badius':12.8,'Colobus_guereza':12.8)43:6.62230478)42:10.01924203,('Gorilla_gorilla':9.06309552,((('Pan_troglodytes_troglodytes':0.5,'Pan_troglodytes_schweinfurthii':0.5):2.82005943,'Pan_paniscus':2.82005943)40:3.83084557,'Homo_sapiens':6.650905)48:2.41219052)51:20.3784513)47:13.70974953)39:30.685598;",86.80259271,0.043448809,d__Bacteria;p__Firmicutes;c__Bacilli;o__Lactobacillales;f__Streptococcaceae;g__Streptococcus;s__,"OrkinJD_2019__SSR039__bin_15,OrkinJD_2019__SSR056__bin_2,F02_WC14_S14__DASTool_bins_metabat2_055,OrkinJD_2019__SSR091__bin_1,OrkinJD_2019__SSR105__bin_25,OrkinJD_2019__SSR047__bin_3,OrkinJD_2019__SSR096__bin_2,OrkinJD_2019__SSR093__bin_3,OrkinJD_2019__SSR118__bin_6,OrkinJD_2019__SSR024__bin_9,OrkinJD_2019__SSR116__bin_7,FerrettiP_2018__CA_C10042IS2731FE_t2M16__bin_6,OrkinJD_2019__SSR049__bin_13,OrkinJD_2019__SSR046__bin_20"
38,0.904324909,0.005,0.172,0.163,10,3,12,"(((('TungJ_2015__F03__bin_31':0.0002091822,('TungJ_2015__M11__bin_9':0.0095521304,'TungJ_2015__F29__bin_32':1.0008e-06)100:0.0037979838)100:2.14892e-05,((('TungJ_2015__M16__bin_115':0.0002350523,'TungJ_2015__M13__bin_10':0.000446331)99:1.0007e-06,'TungJ_2015__M09__bin_31':0.00051007)100:1.0007e-06,'TungJ_2015__F31__bin_61':1.0008e-06)100:0.0006848458)100:0.0002132127,'TungJ_2015__M03__bin_23':0.0004652702)100:0.0086063721,('BritoIL_2016__W3_22_ST__bin_85':0.0097728051,'D03_WC20_S20__DASTool_bins_metabat2_147_sub':0.0108353761)100:0.0057376113)65:0.0044397938;","((((('Papio_cynocephalus':2.41,('Papio_hamadryas':1.73232857,'Papio_anubis':1.73232857)30:0.67767143)29:2.67028789,'Theropithecus_gelada':5.08028789)27:8.66928294,'Cercopithecus_ascanius':13.74957083)35:5.67273395,('Piliocolobus_badius':12.8,'Colobus_guereza':12.8)43:6.62230478)42:10.01924203,('Gorilla_gorilla':9.06309552,((('Pan_troglodytes_troglodytes':0.5,'Pan_troglodytes_schweinfurthii':0.5):2.82005943,'Pan_paniscus':2.82005943)40:3.83084557,'Homo_sapiens':6.650905)48:2.41219052)51:20.3784513)47:13.70974953;",59.38309363,0.038764176,d__Bacteria;p__Other;c__UBP9;o__UBA4705;f__UBA4705;g__UBA4705;s__,"TungJ_2015__M13__bin_10,TungJ_2015__M03__bin_23,BritoIL_2016__W3_22_ST__bin_85,TungJ_2015__M09__bin_31,TungJ_2015__M11__bin_9,TungJ_2015__F03__bin_31,D03_WC20_S20__DASTool_bins_metabat2_147_sub,TungJ_2015__F31__bin_61,TungJ_2015__M16__bin_115,TungJ_2015__F29__bin_32"
45,0.93246941,0.006,0.237,0.339,11,3,12,"((((('TungJ_2015__F04__bin_12':1.0008e-06,(('TungJ_2015__F05__bin_18':0.000487031,'TungJ_2015__F18__bin_9':0.0065128137)54:1.0007e-06,'TungJ_2015__F06__bin_80':1.0008e-06)62:2.5445e-06)50:1.0007e-06,'TungJ_2015__F21__bin_4':0.0084097578)100:0.0009168414,'TungJ_2015__F15__bin_20':0.000391606)100:0.0002258416,(('TungJ_2015__M04__bin_64':1.0008e-06,'TungJ_2015__M01__bin_133':1.0008e-06)98:1.0007e-06,'TungJ_2015__F31__bin_107':0.0006547913)100:0.0008231516)100:0.0103827687,('B05_WC34_S34__DASTool_bins_concoct_001':0.002235759,'B04_WC26_S26__DASTool_bins_metabat2_349':0.0119934247)100:0.0108375216)100:0.0049851742;","((((('Papio_cynocephalus':2.41,('Papio_hamadryas':1.73232857,'Papio_anubis':1.73232857)30:0.67767143)29:2.67028789,'Theropithecus_gelada':5.08028789)27:8.66928294,'Cercopithecus_ascanius':13.74957083)35:5.67273395,('Piliocolobus_badius':12.8,'Colobus_guereza':12.8)43:6.62230478)42:10.01924203,('Gorilla_gorilla':9.06309552,((('Pan_troglodytes_troglodytes':0.5,'Pan_troglodytes_schweinfurthii':0.5):2.82005943,'Pan_paniscus':2.82005943)40:3.83084557,'Homo_sapiens':6.650905)48:2.41219052)51:20.3784513)47:13.70974953;",59.38309363,0.042766156,d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__RF32;f__CAG-977;g__UBA2903;s__,"TungJ_2015__F18__bin_9,TungJ_2015__F21__bin_4,TungJ_2015__M01__bin_133,B04_WC26_S26__DASTool_bins_metabat2_349,TungJ_2015__F04__bin_12,TungJ_2015__F05__bin_18,TungJ_2015__M04__bin_64,TungJ_2015__F31__bin_107,B05_WC34_S34__DASTool_bins_concoct_001,TungJ_2015__F06__bin_80,TungJ_2015__F15__bin_20"
57,0.979447454,0.002,0.159,0.183,8,3,5,"((('HicksAL_2018__WDG_0002__bin_31':0.0052326364,(('HicksAL_2018__WDG_0027__bin_28':0.0005419672,'HicksAL_2018__WDG_0028__bin_42':0.0002985645)100:0.000287774,'HicksAL_2018__WDG_0058__bin_12':0.0003120518)97:0.0006204776)97:0.0005392714,'HicksAL_2018__WDG_0033__bin_19':0.0011648649)100:0.0177588968,(('E01_WC5_S5__DASTool_bins_concoct_058':0.0006061566,'WC5_126':0.0025975405)100:0.0007574089,'D04_WC28_S28__DASTool_bins_concoct_245':0.0007214866)100:0.0231387259)100:0.2427759151;","('Gorilla_gorilla':9.06309552,((('Pan_troglodytes_troglodytes':0.5,'Pan_troglodytes_schweinfurthii':0.5):2.82005943,'Pan_paniscus':2.82005943)40:3.83084557,'Homo_sapiens':6.650905)48:2.41219052)51:20.3784513;",18.62619104,0.05002448,d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__UBA932;g__;s__,"HicksAL_2018__WDG_0027__bin_28,HicksAL_2018__WDG_0033__bin_19,WC5_126,HicksAL_2018__WDG_0002__bin_31,E01_WC5_S5__DASTool_bins_concoct_058,HicksAL_2018__WDG_0058__bin_12,D04_WC28_S28__DASTool_bins_concoct_245,HicksAL_2018__WDG_0028__bin_42"
58,0.981485325,0.003,0.268,0.35,12,3,12,"((((('TungJ_2015__F02__bin_35':0.0010283439,((('TungJ_2015__F03__bin_48':0.0002353197,('TungJ_2015__M05__bin_4':0.0002560718,'TungJ_2015__F09__bin_4':1.0008e-06)100:0.0014142493)57:2.4932e-06,'TungJ_2015__F22__bin_1':0.0064792845)61:0.0002361699,'TungJ_2015__F29__bin_19':0.0002346014)65:0.0007067166)45:1.0007e-06,('TungJ_2015__F31__bin_8':1.0008e-06,'TungJ_2015__F20__bin_15':0.0007067648)32:0.0002351361)72:0.0002343509,('TungJ_2015__M04__bin_57':0.0010166276,'TungJ_2015__F11__bin_5':1.0008e-06)98:0.0002361245)100:0.0185540875,'AmatoKR_2018__qiita_sid_11212_11212_JB1__bin_17':0.0184109356)100:0.0561274674,'BritoIL_2016__M1_29_ST__bin_46':0.0576432534)100:0.0295846558;","((((('Papio_cynocephalus':2.41,('Papio_hamadryas':1.73232857,'Papio_anubis':1.73232857)30:0.67767143)29:2.67028789,'Theropithecus_gelada':5.08028789)27:8.66928294,'Cercopithecus_ascanius':13.74957083)35:5.67273395,('Piliocolobus_badius':12.8,'Colobus_guereza':12.8)43:6.62230478)42:10.01924203,('Gorilla_gorilla':9.06309552,((('Pan_troglodytes_troglodytes':0.5,'Pan_troglodytes_schweinfurthii':0.5):2.82005943,'Pan_paniscus':2.82005943)40:3.83084557,'Homo_sapiens':6.650905)48:2.41219052)51:20.3784513)47:13.70974953;",59.38309363,0.139982331,d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__UBA932;g__RC9;s__,"TungJ_2015__F09__bin_4,TungJ_2015__M05__bin_4,TungJ_2015__F20__bin_15,TungJ_2015__F29__bin_19,TungJ_2015__F11__bin_5,TungJ_2015__M04__bin_57,TungJ_2015__F31__bin_8,TungJ_2015__F03__bin_48,TungJ_2015__F02__bin_35,BritoIL_2016__M1_29_ST__bin_46,TungJ_2015__F22__bin_1,AmatoKR_2018__qiita_sid_11212_11212_JB1__bin_17"
65,0.994752316,0.043,0.224,0.321,7,3,12,"('AmatoKR_2018__qiita_sid_11212_11212_JB27__bin_4':0.290594146,((('E01_WC5_S5__DASTool_bins_metabat2_045_sub':0.0007987191,(('D04_WC28_S28__DASTool_bins_metabat2_008_sub':0.0019330443,'D03_WC20_S20__DASTool_bins_metabat2_037':0.003175854)97:0.0010331194,'D01_WC4_S4__DASTool_bins_concoct_119_sub':0.0046703468)97:0.0006655437)97:0.0003370497,'WC5_103':0.000749286)97:0.0058091628,'WC6_63':0.0104237399)100:0.2151285398)100:0.0514079141;","((((('Papio_cynocephalus':2.41,('Papio_hamadryas':1.73232857,'Papio_anubis':1.73232857)30:0.67767143)29:2.67028789,'Theropithecus_gelada':5.08028789)27:8.66928294,'Cercopithecus_ascanius':13.74957083)35:5.67273395,('Piliocolobus_badius':12.8,'Colobus_guereza':12.8)43:6.62230478)42:10.01924203,('Gorilla_gorilla':9.06309552,((('Pan_troglodytes_troglodytes':0.5,'Pan_troglodytes_schweinfurthii':0.5):2.82005943,'Pan_paniscus':2.82005943)40:3.83084557,'Homo_sapiens':6.650905)48:2.41219052)51:20.3784513)47:13.70974953;",59.38309363,0.517204789,d__Bacteria;p__Firmicutes;c__Bacilli;o__RFN20;f__CAG-826;g__;s__,"WC6_63,D04_WC28_S28__DASTool_bins_metabat2_008_sub,D03_WC20_S20__DASTool_bins_metabat2_037,AmatoKR_2018__qiita_sid_11212_11212_JB27__bin_4,D01_WC4_S4__DASTool_bins_concoct_119_sub,WC5_103,E01_WC5_S5__DASTool_bins_metabat2_045_sub"
