user_genome	classification	closest_genome_reference	closest_genome_reference_radius	closest_genome_taxonomy	closest_genome_ani	closest_genome_af	closest_placement_reference	closest_placement_radius	closest_placement_taxonomy	closest_placement_ani	closest_placement_af	pplacer_taxonomy	classification_method	note	other_related_references(genome_id,species_name,radius,ANI,AF)	msa_percent	translation_table	red_value	warnings
WC34_35	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Bacteroidaceae;g__Alloprevotella;s__	N/A	N/A	N/A	N/A	N/A	GCA_963589615.1	95.0	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Bacteroidaceae;g__Alloprevotella;s__Alloprevotella timonensis_A	90.58	0.78	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Bacteroidaceae;g__Alloprevotella;s__	taxonomic classification defined by topology and ANI	classification based on placement in class-level tree	GCA_963656685.1, s__Alloprevotella sp963656685, 95.0, 90.93, 0.788; GCA_963649665.1, s__Alloprevotella sp963649665, 95.0, 85.79, 0.461; GCA_963600165.1, s__Alloprevotella sp963600165, 95.0, 85.3, 0.352	90.25	11	0.99784	Genome not assigned to closest species as it falls outside its pre-defined ANI radius
WILDCHIMP_A05_WC33_S33__DASTool_bins.concoct.003	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Bacteroidaceae;g__Prevotella;s__Prevotella sp963610435	GCA_963610435.1	95.0	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Bacteroidaceae;g__Prevotella;s__Prevotella sp963610435	95.82	0.875	N/A	N/A	N/A	N/A	N/A	N/A	ani_screen	classification based on ANI only	GCA_963644485.1, s__Prevotella sp963644485, 95.0, 90.74, 0.747; GCA_963594895.1, s__Prevotella sp963594895, 95.0, 85.52, 0.515	N/A	N/A	N/A	N/A
WILDCHIMP_A05_WC33_S33__DASTool_bins.concoct.021	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Bacteroidaceae;g__Prevotella;s__	N/A	N/A	N/A	N/A	N/A	GCA_963629785.1	95.0	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Bacteroidaceae;g__Prevotella;s__Prevotella sp963629785	89.05	0.714	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Bacteroidaceae;g__Prevotella;s__	taxonomic classification defined by topology and ANI	classification based on placement in class-level tree	GCA_963639565.1, s__Prevotella sp963639565, 95.0, 83.86, 0.239	95.08	11	0.99781	Genome not assigned to closest species as it falls outside its pre-defined ANI radius
WILDCHIMP_A05_WC33_S33__DASTool_bins.concoct.030	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Muribaculaceae;g__Limisoma;s__	N/A	N/A	N/A	N/A	N/A	GCA_963615935.1	95.0	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Muribaculaceae;g__Limisoma;s__Limisoma sp963615935	91.43	0.795	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Muribaculaceae;g__Limisoma;s__	taxonomic classification defined by topology and ANI	classification based on placement in class-level tree	GCA_963590085.1, s__Limisoma sp963590085, 95.0, 92.3, 0.754; GCA_963601185.1, s__Limisoma sp963601185, 95.0, 88.69, 0.644; GCA_963590405.1, s__Limisoma sp963590405, 95.0, 86.47, 0.506	92.12	11	0.99751	Genome not assigned to closest species as it falls outside its pre-defined ANI radius
WILDCHIMP_A05_WC33_S33__DASTool_bins.concoct.046	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Bacteroidaceae;g__Prevotella;s__	N/A	N/A	N/A	N/A	N/A	GCA_963611255.1	95.0	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Bacteroidaceae;g__Prevotella;s__Prevotella sp963611255	92.43	0.855	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Bacteroidaceae;g__Prevotella;s__	taxonomic classification defined by topology and ANI	classification based on placement in class-level tree	GCA_963627025.1, s__Prevotella sp963627025, 95.0, 89.24, 0.764; GCA_963639575.1, s__Prevotella sp963639575, 95.0, 84.41, 0.486	96.15	11	0.99792	Genome not assigned to closest species as it falls outside its pre-defined ANI radius
WILDCHIMP_A05_WC33_S33__DASTool_bins.concoct.084	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Bacteroidaceae;g__Prevotella;s__	N/A	N/A	N/A	N/A	N/A	GCA_963636905.1	95.0	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Bacteroidaceae;g__Prevotella;s__Prevotella sp963636905	94.42	0.777	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Bacteroidaceae;g__Prevotella;s__	taxonomic classification defined by topology and ANI	classification based on placement in class-level tree	GCA_963590445.1, s__Prevotella sp963590445, 95.0, 92.37, 0.68; GCA_963590865.1, s__Prevotella sp963590865, 95.0, 84.37, 0.358; GCA_963630025.1, s__Prevotella sp963630025, 95.0, 83.74, 0.305; GCA_963659575.1, s__Prevotella sp963659575, 95.0, 83.72, 0.226; GCA_963659505.1, s__Prevotella sp963659505, 95.0, 81.6, 0.168	86.24	11	0.99773	Genome not assigned to closest species as it falls outside its pre-defined ANI radius
WILDCHIMP_A05_WC33_S33__DASTool_bins.concoct.085_sub	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Bacteroidaceae;g__Prevotella;s__	N/A	N/A	N/A	N/A	N/A	GCA_002451555.1	95.0	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Bacteroidaceae;g__Prevotella;s__Prevotella albertsiae	84.51	0.268	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Bacteroidaceae;g__Prevotella;s__	taxonomic classification defined by topology and ANI	classification based on placement in class-level tree	N/A	81.67	11	0.9931	N/A
WILDCHIMP_A05_WC33_S33__DASTool_bins.concoct.100	d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Enterobacterales;f__Enterobacteriaceae;g__Escherichia;s__Escherichia coli	GCF_003697165.2	95.0	d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Enterobacterales;f__Enterobacteriaceae;g__Escherichia;s__Escherichia coli	98.26	0.879	N/A	N/A	N/A	N/A	N/A	N/A	ani_screen	classification based on ANI only	GCF_002965065.1, s__Escherichia sp002965065, 95.0, 94.29, 0.717; GCF_000759775.1, s__Escherichia albertii, 95.0, 90.32, 0.706; GCF_014836715.1, s__Escherichia whittamii, 95.0, 91.55, 0.798; GCF_002900365.1, s__Escherichia marmotae, 95.0, 90.92, 0.734; GCF_000026225.1, s__Escherichia fergusonii, 95.0, 90.92, 0.565; GCF_005843885.1, s__Escherichia sp005843885, 95.0, 92.24, 0.758; GCF_036503815.1, s__Escherichia coli_F, 95.84, 95.72, 0.813; GCA_011881725.1, s__Escherichia coli_E, 95.0, 92.0, 0.804; GCF_004211955.1, s__Escherichia sp004211955, 95.0, 92.76, 0.746; GCF_031323975.1, s__Escherichia ruysiae, 95.0, 91.92, 0.779	N/A	N/A	N/A	N/A
WILDCHIMP_A05_WC33_S33__DASTool_bins.concoct.104	d__Bacteria;p__Bacillota;c__Bacilli;o__RFN20;f__CAG-826;g__Onthovivens;s__	N/A	N/A	N/A	N/A	N/A	GCA_963632375.1	95.0	d__Bacteria;p__Bacillota;c__Bacilli;o__RFN20;f__CAG-826;g__Onthovivens;s__Onthovivens sp963632375	92.76	0.559	d__Bacteria;p__Bacillota;c__Bacilli;o__RFN20;f__CAG-826;g__Onthovivens;s__	taxonomic classification defined by topology and ANI	classification based on placement in class-level tree	GCA_963660725.1, s__Onthovivens sp963660725, 95.0, 91.24, 0.574; GCA_963653985.1, s__Onthovivens sp963653985, 95.0, 90.95, 0.556; GCA_963605025.1, s__Onthovivens sp963605025, 95.0, 85.65, 0.191	75.6	11	0.99538	Genome not assigned to closest species as it falls outside its pre-defined ANI radius
WILDCHIMP_A05_WC33_S33__DASTool_bins.concoct.116	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Bacteroidaceae;g__Prevotella;s__	N/A	N/A	N/A	N/A	N/A	GCA_963654235.1	95.0	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Bacteroidaceae;g__Prevotella;s__Prevotella sp963654235	92.37	0.859	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Bacteroidaceae;g__Prevotella;s__	taxonomic classification defined by topology and ANI	classification based on placement in class-level tree	GCA_963639545.1, s__Prevotella sp963639545, 95.0, 90.5, 0.773; GCA_963630695.1, s__Prevotella sp963630695, 95.0, 87.55, 0.679	97.7	11	0.99869	Genome not assigned to closest species as it falls outside its pre-defined ANI radius
