user_genome	classification	closest_genome_reference	closest_genome_reference_radius	closest_genome_taxonomy	closest_genome_ani	closest_genome_af	closest_placement_reference	closest_placement_radius	closest_placement_taxonomy	closest_placement_ani	closest_placement_af	pplacer_taxonomy	classification_method	note	other_related_references(genome_id,species_name,radius,ANI,AF)	msa_percent	translation_table	red_value	warnings
WC16_42.contigs	d__Bacteria;p__Bacillota;c__Bacilli;o__RFN20;f__CAG-826;g__Onthovivens;s__	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	d__Bacteria;p__Bacillota;c__Bacilli;o__RFN20;f__CAG-826;g__Onthovivens;s__	taxonomic classification defined by topology and ANI	classification based on placement in class-level tree	GCA_963632375.1, s__Onthovivens sp963632375, 95.0, 90.62, 0.569; GCA_963653985.1, s__Onthovivens sp963653985, 95.0, 89.53, 0.584; GCA_963660725.1, s__Onthovivens sp963660725, 95.0, 89.37, 0.608; GCA_963605025.1, s__Onthovivens sp963605025, 95.0, 83.54, 0.342	80.42	11	0.99099	Genome not assigned to closest species as it falls outside its pre-defined ANI radius
WC16_51.contigs	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Bacteroidaceae;g__Prevotella;s__Prevotella sp963639545	GCA_963639545.1	95.0	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Bacteroidaceae;g__Prevotella;s__Prevotella sp963639545	96.27	0.892	N/A	N/A	N/A	N/A	N/A	N/A	ani_screen	classification based on ANI only	GCA_963630695.1, s__Prevotella sp963630695, 95.0, 87.81, 0.665; GCA_963654235.1, s__Prevotella sp963654235, 95.0, 89.61, 0.742	N/A	N/A	N/A	N/A
WC16_69.contigs	d__Bacteria;p__Bacillota;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Oribacterium;s__	N/A	N/A	N/A	N/A	N/A	GCA_963591655.1	95.0	d__Bacteria;p__Bacillota;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Oribacterium;s__Oribacterium sp963591655	94.84	0.852	d__Bacteria;p__Bacillota;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Oribacterium;s__	taxonomic classification defined by topology and ANI	classification based on placement in class-level tree	GCA_963616545.1, s__Oribacterium sp963616545, 95.0, 89.52, 0.621; GCA_963659875.1, s__Oribacterium sp963659875, 95.0, 88.17, 0.642; GCA_963623925.1, s__Oribacterium sp963623925, 95.0, 87.82, 0.618; GCA_963592375.1, s__Oribacterium sp963592375, 95.0, 83.98, 0.17	91.76	11	0.99731	Genome not assigned to closest species as it falls outside its pre-defined ANI radius
WC17_109.contigs	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Bacteroidaceae;g__Prevotella;s__Prevotella sp963602915	GCA_963602915.1	95.0	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Bacteroidaceae;g__Prevotella;s__Prevotella sp963602915	95.99	0.898	N/A	N/A	N/A	N/A	N/A	N/A	ani_screen	classification based on ANI only	GCA_963609005.1, s__Prevotella sp963609005, 95.0, 89.9, 0.689; GCA_963607545.1, s__Prevotella sp963607545, 95.0, 90.08, 0.754; GCA_963654815.1, s__Prevotella sp963654815, 95.0, 90.86, 0.771	N/A	N/A	N/A	N/A
WC3_123.contigs	d__Bacteria;p__Bacillota;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Blautia;s__	N/A	N/A	N/A	N/A	N/A	GCA_022717655.1	95.0	d__Bacteria;p__Bacillota;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Blautia;s__Blautia sp022717655	91.28	0.453	d__Bacteria;p__Bacillota;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Blautia;s__	taxonomic classification defined by topology and ANI	classification based on placement in class-level tree	GCA_003481745.1, s__Blautia stercoris, 95.0, 89.54, 0.499	80.44	11	0.99618	N/A
WC3_bin.49.contigs	d__Bacteria;p__Bacillota;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__CAG-791;s__	N/A	N/A	N/A	N/A	N/A	GCA_963593905.1	95.0	d__Bacteria;p__Bacillota;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__CAG-791;s__CAG-791 sp963593905	94.69	0.896	d__Bacteria;p__Bacillota;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__CAG-791;s__	taxonomic classification defined by topology and ANI	classification based on placement in class-level tree	GCA_963596015.1, s__CAG-791 sp963596015, 95.0, 83.74, 0.259; GCA_963658405.1, s__CAG-791 sp963658405, 95.0, 83.63, 0.278	92.0	11	0.99763	Genome not assigned to closest species as it falls outside its pre-defined ANI radius
WC5_103.contigs	d__Bacteria;p__Bacillota;c__Bacilli;o__RFN20;f__CAG-826;g__CAVDWX01;s__	N/A	N/A	N/A	N/A	N/A	GCA_963612735.1	95.0	d__Bacteria;p__Bacillota;c__Bacilli;o__RFN20;f__CAG-826;g__CAVDWX01;s__CAVDWX01 sp963612735	84.39	0.382	d__Bacteria;p__Bacillota;c__Bacilli;o__RFN20;f__CAG-826;g__CAVDWX01;s__	taxonomic classification defined by topology and ANI	classification based on placement in class-level tree	N/A	87.21	11	0.98861	N/A
WC5_28.contigs	d__Bacteria;p__Bacillota;c__Clostridia;o__Oscillospirales;f__Acutalibacteraceae;g__CAVALG01;s__CAVALG01 sp963589585	GCA_963589585.1	95.0	d__Bacteria;p__Bacillota;c__Clostridia;o__Oscillospirales;f__Acutalibacteraceae;g__CAVALG01;s__CAVALG01 sp963589585	97.61	0.869	N/A	N/A	N/A	N/A	N/A	N/A	ani_screen	classification based on ANI only	GCA_963630555.1, s__CAVALG01 sp963630555, 95.0, 86.38, 0.503; GCA_963656085.1, s__CAVALG01 sp963656085, 95.0, 87.87, 0.546	N/A	N/A	N/A	N/A
WC5_WC5.009.contigs	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Marinilabiliaceae;g__W3P20-009;s__W3P20-009 sp963620575	GCA_963620575.1	95.0	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Marinilabiliaceae;g__W3P20-009;s__W3P20-009 sp963620575	95.16	0.942	N/A	N/A	N/A	N/A	N/A	N/A	ani_screen	classification based on ANI only	GCA_963618945.1, s__W3P20-009 sp963618945, 95.0, 86.21, 0.619; GCA_963658925.1, s__W3P20-009 sp963658925, 95.0, 87.45, 0.72	N/A	N/A	N/A	N/A
WC5_WC5.073_sub.contigs	d__Bacteria;p__Bacillota;c__Clostridia;o__Oscillospirales;f__Acutalibacteraceae;g__CAG-177;s__CAG-177 sp963612725	GCA_963612725.1	95.0	d__Bacteria;p__Bacillota;c__Clostridia;o__Oscillospirales;f__Acutalibacteraceae;g__CAG-177;s__CAG-177 sp963612725	98.1	0.85	N/A	N/A	N/A	N/A	N/A	N/A	ani_screen	classification based on ANI only	GCA_002451755.1, s__CAG-177 sp002451755, 95.0, 90.77, 0.652; GCA_963592475.1, s__CAG-177 sp963592475, 95.0, 90.46, 0.644; GCA_002438685.1, s__CAG-177 sp002438685, 95.0, 90.59, 0.676; GCA_003514385.1, s__CAG-177 sp003514385, 95.0, 89.7, 0.681; GCA_963620555.1, s__CAG-177 sp963620555, 95.0, 94.48, 0.797; GCA_003538135.1, s__CAG-177 sp003538135, 95.0, 85.93, 0.527	N/A	N/A	N/A	N/A
