ID,Pe_F,Pe_R,Pe_ratio,Span_F,Span_R,Span_ratio,SRR_ID
c_000000000001:241699-241715-241756-241772,0,150,1.0,0,122,1.0,SRR19415690
c_000000000001:31028-31044-31142-31158,2,6,0.75,2,6,0.75,SRR19415683
c_000000000001:31028-31044-31142-31158,0,8,1.0,0,8,1.0,SRR19415682
c_000000000001:31028-31044-31142-31158,0,8,1.0,0,8,1.0,SRR19415690
c_000000000002:374932-374955-375024-375047,18,16,0.47,8,8,0.5,SRR19415683
c_000000000002:374932-374955-375024-375047,8,10,0.56,5,6,0.55,SRR19415686
c_000000000003:81218-81243-81473-81498,62,14,0.18,48,10,0.17,SRR19415683
c_000000000004:109898-109922-110157-110181,14,14,0.5,12,12,0.5,SRR19415690
c_000000000004:466593-466618-466848-466873,74,14,0.16,45,10,0.18,SRR19415683
c_000000000007:15575-15599-15934-15958,2,32,0.94,1,16,0.94,SRR19415682
c_000000000007:15575-15599-15934-15958,94,18,0.16,70,15,0.18,SRR19415683
c_000000000007:15575-15599-15934-15958,2,10,0.83,2,6,0.75,SRR19415688
c_000000000007:15575-15599-15934-15958,2,8,0.8,1,6,0.86,SRR19415686
c_000000000007:536971-536994-537228-537251,82,22,0.21,46,13,0.22,SRR19415683
c_000000000009:349492-349517-349602-349627,6,14,0.7,0,9,1.0,SRR19415683
c_000000000011:10717-10742-10948-10973,38,18,0.32,21,10,0.32,SRR19415683
c_000000000012:11355-11382-11718-11745,52,18,0.26,30,8,0.21,SRR19415686
c_000000000012:11355-11382-11718-11745,10,6,0.38,7,6,0.46,SRR19415657
c_000000000012:11355-11382-11718-11745,40,16,0.29,24,10,0.29,SRR19415690
c_000000000012:11355-11382-11718-11745,86,32,0.27,55,27,0.33,SRR19415683
c_000000000012:11355-11382-11718-11745,48,28,0.37,25,20,0.44,SRR19415682
c_000000000012:11355-11382-11718-11745,12,22,0.65,9,10,0.53,SRR19415688
