	ID	inverton_number	group
0	MGYG000000001	957	3
1	MGYG000000002	1466	4
2	MGYG000000003	1396	4
3	MGYG000000004	1443	4
4	MGYG000000005	1091	4
5	MGYG000000006	886	3
6	MGYG000000007	750	2
7	MGYG000000008	695	2
8	MGYG000000009	784	2
9	MGYG000000010	938	3
10	MGYG000000011	963	3
11	MGYG000000012	1235	4
12	MGYG000000013	2097	4
13	MGYG000000014	1362	4
14	MGYG000000015	1817	4
15	MGYG000000016	750	2
16	MGYG000000017	959	3
17	MGYG000000018	929	3
18	MGYG000000019	2056	4
19	MGYG000000020	583	1
20	MGYG000000021	633	2
21	MGYG000000022	1192	4
22	MGYG000000023	603	1
23	MGYG000000024	1102	4
24	MGYG000000025	897	3
25	MGYG000000026	1023	3
26	MGYG000000027	1215	4
27	MGYG000000028	829	2
28	MGYG000000029	1429	4
29	MGYG000000030	1044	4
30	MGYG000000031	1217	4
31	MGYG000000032	2055	4
32	MGYG000000033	949	3
33	MGYG000000034	803	2
34	MGYG000000035	964	3
35	MGYG000000036	951	3
36	MGYG000000037	892	3
37	MGYG000000038	929	3
38	MGYG000000039	1162	4
39	MGYG000000040	746	2
40	MGYG000000041	1102	4
41	MGYG000000042	1168	4
42	MGYG000000043	1226	4
43	MGYG000000044	1410	4
44	MGYG000000045	1026	3
45	MGYG000000046	979	3
46	MGYG000000047	1090	4
47	MGYG000000048	695	2
48	MGYG000000049	1025	3
49	MGYG000000050	1398	4
50	MGYG000000051	1051	4
51	MGYG000000052	899	3
52	MGYG000000053	1121	4
53	MGYG000000054	1671	4
54	MGYG000000055	1044	4
55	MGYG000000056	978	3
56	MGYG000000057	1372	4
57	MGYG000000058	1135	4
58	MGYG000000059	1043	4
59	MGYG000000060	1146	4
60	MGYG000000061	954	3
61	MGYG000000062	842	3
62	MGYG000000063	1267	4
63	MGYG000000064	920	3
64	MGYG000000065	1023	3
65	MGYG000000066	1828	4
66	MGYG000000067	1142	4
