user_genome	classification	closest_genome_reference	closest_genome_reference_radius	closest_genome_taxonomy	closest_genome_ani	closest_genome_af	closest_placement_reference	closest_placement_radius	closest_placement_taxonomy	closest_placement_ani	closest_placement_af	pplacer_taxonomy	classification_method	note	other_related_references(genome_id,species_name,radius,ANI,AF)	msa_percent	translation_table	red_value	warnings
WC29_56.contigs	d__Bacteria;p__Bacillota;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__RUG14243;s__RUG14243 sp963637505	GCA_963637505.1	95.0	d__Bacteria;p__Bacillota;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__RUG14243;s__RUG14243 sp963637505	95.56	0.909	N/A	N/A	N/A	N/A	N/A	N/A	ani_screen	classification based on ANI only	N/A	N/A	N/A	N/A	N/A
WILDCHIMP_A04_WC25_S25__DASTool_bins.concoct.008	d__Bacteria;p__Bacillota;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Fusicatenibacter;s__Fusicatenibacter massiliensis_A	GCA_963661155.1	95.0	d__Bacteria;p__Bacillota;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Fusicatenibacter;s__Fusicatenibacter massiliensis_A	98.6	0.877	N/A	N/A	N/A	N/A	N/A	N/A	ani_screen	classification based on ANI only	GCA_900772675.1, s__Fusicatenibacter sp900772675, 95.0, 87.19, 0.397; GCA_963596755.1, s__Fusicatenibacter sp963596755, 95.0, 90.63, 0.603; GCF_027667425.1, s__Fusicatenibacter saccharivorans, 95.0, 88.03, 0.559	N/A	N/A	N/A	N/A
WILDCHIMP_A04_WC25_S25__DASTool_bins.concoct.055	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__UBA932;g__Cryptobacteroides;s__	N/A	N/A	N/A	N/A	N/A	GCA_963614015.1	95.0	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__UBA932;g__Cryptobacteroides;s__Cryptobacteroides sp963614015	85.58	0.382	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__UBA932;g__Cryptobacteroides;s__	taxonomic classification defined by topology and ANI	classification based on placement in class-level tree	N/A	85.74	11	0.98757	N/A
WILDCHIMP_A04_WC25_S25__DASTool_bins.concoct.080	d__Bacteria;p__Bacillota;c__Clostridia;o__Oscillospirales;f__Ruminococcaceae;g__SFIE01;s__SFIE01 sp963629755	GCA_963629755.1	95.0	d__Bacteria;p__Bacillota;c__Clostridia;o__Oscillospirales;f__Ruminococcaceae;g__SFIE01;s__SFIE01 sp963629755	96.44	0.886	N/A	N/A	N/A	N/A	N/A	N/A	ani_screen	classification based on ANI only	GCA_004555405.1, s__SFIE01 sp004555405, 95.0, 84.51, 0.401	N/A	N/A	N/A	N/A
WILDCHIMP_A04_WC25_S25__DASTool_bins.concoct.099	d__Bacteria;p__Bacillota;c__Clostridia;o__Lachnospirales;f__Anaerotignaceae;g__Anaerotignum_A;s__	N/A	N/A	N/A	N/A	N/A	GCF_003865035.1	95.0	d__Bacteria;p__Bacillota;c__Clostridia;o__Lachnospirales;f__Anaerotignaceae;g__Anaerotignum_A;s__Anaerotignum_A faecicola	89.94	0.623	d__Bacteria;p__Bacillota;c__Clostridia;o__Lachnospirales;f__Anaerotignaceae;g__Anaerotignum_A;s__	taxonomic classification defined by topology and ANI	classification based on placement in class-level tree	GCF_934277605.1, s__Anaerotignum_A sp934277605, 95.0, 85.9, 0.467; GCA_963640305.1, s__Anaerotignum_A sp963640305, 95.0, 81.43, 0.278; GCA_021768705.1, s__Anaerotignum_A sp021768705, 95.0, 80.93, 0.172; GCA_945912105.1, s__Anaerotignum_A sp945912105, 95.16, 80.88, 0.158; GCF_017483025.1, s__Anaerotignum_A sp017483025, 95.0, 80.1, 0.155	92.57	11	0.9918	Genome not assigned to closest species as it falls outside its pre-defined ANI radius
WILDCHIMP_A04_WC25_S25__DASTool_bins.concoct.112	d__Bacteria;p__Bacillota;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Blautia_A;s__Blautia_A sp963642325	GCA_963642325.1	95.0	d__Bacteria;p__Bacillota;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Blautia_A;s__Blautia_A sp963642325	99.05	0.926	N/A	N/A	N/A	N/A	N/A	N/A	ani_screen	classification based on ANI only	GCA_963616205.1, s__Blautia_A sp963616205, 95.0, 87.59, 0.307; GCF_020687435.1, s__Blautia_A fusiformis, 96.97, 84.71, 0.327; GCF_902167715.1, s__Blautia_A luti_A, 96.82, 84.82, 0.352; GCF_013304825.1, s__Blautia_A schinkii_B, 95.51, 86.61, 0.434; GCA_003474435.1, s__Blautia_A sp003474435, 95.0, 86.57, 0.441; GCA_963598855.1, s__Blautia_A sp963598855, 95.0, 87.45, 0.5; GCF_005848555.1, s__Blautia_A sp005848555, 96.6, 84.51, 0.332; GCA_003461955.1, s__Blautia_A sp900066335, 95.0, 84.99, 0.359; GCF_013304735.1, s__Blautia_A sp900066205, 95.0, 85.47, 0.398	N/A	N/A	N/A	N/A
WILDCHIMP_A04_WC25_S25__DASTool_bins.concoct.133	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Bacteroidaceae;g__Prevotella;s__Prevotella sp963586965	GCA_963586965.1	95.0	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Bacteroidaceae;g__Prevotella;s__Prevotella sp963586965	95.89	0.87	N/A	N/A	N/A	N/A	N/A	N/A	ani_screen	classification based on ANI only	N/A	N/A	N/A	N/A	N/A
WILDCHIMP_A04_WC25_S25__DASTool_bins.concoct.134	d__Bacteria;p__Bacillota;c__Clostridia;o__Christensenellales;f__CAG-314;g__UMGS692;s__UMGS692 sp963653425	GCA_963653425.1	95.0	d__Bacteria;p__Bacillota;c__Clostridia;o__Christensenellales;f__CAG-314;g__UMGS692;s__UMGS692 sp963653425	99.2	0.964	N/A	N/A	N/A	N/A	N/A	N/A	ani_screen	classification based on ANI only	N/A	N/A	N/A	N/A	N/A
WILDCHIMP_A04_WC25_S25__DASTool_bins.concoct.168	d__Bacteria;p__Bacillota;c__Clostridia;o__Christensenellales;f__CAG-138;g__RUG472;s__RUG472 sp900545265	GCA_900545265.1	95.0	d__Bacteria;p__Bacillota;c__Clostridia;o__Christensenellales;f__CAG-138;g__RUG472;s__RUG472 sp900545265	97.06	0.87	N/A	N/A	N/A	N/A	N/A	N/A	ani_screen	classification based on ANI only	N/A	N/A	N/A	N/A	N/A
WILDCHIMP_A04_WC25_S25__DASTool_bins.concoct.201	d__Bacteria;p__Bacillota;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Anthropogastromicrobium;s__Anthropogastromicrobium sp963652495	GCA_963652495.1	95.0	d__Bacteria;p__Bacillota;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Anthropogastromicrobium;s__Anthropogastromicrobium sp963652495	98.76	0.896	N/A	N/A	N/A	N/A	N/A	N/A	ani_screen	classification based on ANI only	GCA_963604075.1, s__Anthropogastromicrobium sp963604075, 95.0, 85.87, 0.377; GCA_963626545.1, s__Anthropogastromicrobium sp963626545, 95.0, 86.9, 0.453; GCA_963605535.1, s__Anthropogastromicrobium chipingensis_A, 95.0, 89.07, 0.501	N/A	N/A	N/A	N/A
