ID,Pe_F,Pe_R,Pe_ratio,Span_F,Span_R,Span_ratio,MAG_ID,SLG_ID
k141_100459:18579-18593-18913-18927,0,8,1.0,0,6,1.0,SLG221_DASTool_bins_32_sub,SLG220
k141_100526:4014-4034-4241-4261,20,14,0.41,12,9,0.43,SLG220_DASTool_bins_SLG220_bin.48,SLG221
k141_100526:4014-4034-4241-4261,4,10,0.71,1,7,0.88,SLG220_DASTool_bins_SLG220_bin.48,SLG777
k141_100526:4014-4034-4241-4261,4,10,0.71,2,7,0.78,SLG220_DASTool_bins_SLG220_bin.48,SLG1121
k141_100526:4014-4034-4241-4261,0,22,1.0,0,11,1.0,SLG220_DASTool_bins_SLG220_bin.48,SLG1155.555
k141_101059:2624-2644-2733-2753,0,6,1.0,0,4,1.0,SLG191_DASTool_bins_89,SLG777
k141_101059:2624-2644-2733-2753,30,12,0.29,15,8,0.35,SLG191_DASTool_bins_89,SLG776
k141_101059:2624-2644-2733-2753,0,8,1.0,0,6,1.0,SLG191_DASTool_bins_89,SLG595
k141_101059:2624-2644-2733-2753,4,6,0.6,3,5,0.62,SLG191_DASTool_bins_89,SLG657
k141_101059:2624-2644-2733-2753,4,6,0.6,2,5,0.71,SLG191_DASTool_bins_89,SLG941
k141_101059:2624-2644-2733-2753,0,16,1.0,0,12,1.0,SLG191_DASTool_bins_89,SLG942
k141_101059:2624-2644-2733-2753,4,8,0.67,2,7,0.78,SLG191_DASTool_bins_89,SLG615
k141_101402:15234-15254-15342-15362,20,6,0.23,16,5,0.24,SLG191_DASTool_bins_89,SLG1007
k141_101402:15234-15254-15342-15362,16,6,0.27,11,5,0.31,SLG191_DASTool_bins_89,SLG613
k141_101402:15234-15254-15342-15362,22,8,0.27,15,7,0.32,SLG191_DASTool_bins_89,SLG615
k141_101402:15234-15254-15342-15362,34,8,0.19,22,6,0.21,SLG191_DASTool_bins_89,SLG942
k141_101402:15234-15254-15342-15362,84,14,0.14,65,13,0.17,SLG191_DASTool_bins_89,SLG776
k141_101402:15234-15254-15342-15362,24,20,0.45,15,12,0.44,SLG191_DASTool_bins_89,SLG326B
k141_101402:15234-15254-15342-15362,6,8,0.57,2,5,0.71,SLG191_DASTool_bins_89,SLG1205
k141_101402:15234-15254-15342-15362,4,6,0.6,2,4,0.67,SLG191_DASTool_bins_89,SLG441
k141_101402:15234-15254-15342-15362,44,6,0.12,31,5,0.14,SLG191_DASTool_bins_89,SLG424
k141_1016:72182-72203-72507-72528,2,26,0.93,1,18,0.95,SLG618_DASTool_bins_SLG618_bin.78,SLG712
k141_1016:72182-72203-72507-72528,2,16,0.89,0,6,1.0,SLG618_DASTool_bins_SLG618_bin.78,SLG1009
k141_1016:72182-72203-72507-72528,6,20,0.77,3,8,0.73,SLG618_DASTool_bins_SLG618_bin.78,SLG778
k141_1016:72182-72203-72507-72528,28,8,0.22,15,7,0.32,SLG618_DASTool_bins_SLG618_bin.78,SLG660
k141_1016:72182-72203-72507-72528,2,16,0.89,1,8,0.89,SLG618_DASTool_bins_SLG618_bin.78,SLG655
