ID,Pe_F,Pe_R,Pe_ratio,Span_F,Span_R,Span_ratio,SRR_ID
k141_1266446:6691-6703-6741-6753,52,12,0.19,31,5,0.14,SRR19415655
k141_140520:40487-40502-41165-41180,0,8,1.0,0,4,1.0,SRR19415660
k141_144478:2203-2222-2337-2356,30,6,0.17,24,5,0.17,SRR19415655
k141_154859:4522-4545-4694-4717,16,34,0.68,9,21,0.7,SRR19415655
k141_158980:371-386-486-501,14,16,0.53,13,12,0.48,SRR19415655
k141_490214:38339-38354-38527-38542,318,6,0.02,194,6,0.03,SRR19415684
k141_518939:7016-7044-7194-7222,4,8,0.67,2,5,0.71,SRR19415660
k141_518939:7016-7044-7194-7222,4,12,0.75,4,5,0.56,SRR19415655
k141_804241:1621-1636-2302-2317,4,8,0.67,3,4,0.57,SRR19415684
k141_830368:3173-3236-3387-3450,0,30,1.0,0,14,1.0,SRR19415684
k141_88291:33129-33142-33378-33391,312,6,0.02,202,6,0.03,SRR19415660
k141_95568:67604-67623-67818-67837,22,8,0.27,15,5,0.25,SRR19415655
k141_976405:128-147-492-511,22,14,0.39,11,6,0.35,SRR19415655
